"x0","y0","color","pen down?","x1","y1","color","pen down?"
"319","0.94775390625","55","true","319","0","5","true"
"320","0.94580078125","55","true","320","0","5","true"
"321","0.94677734375","55","true","321","0","5","true"
"322","0.946533203125","55","true","322","0","5","true"
"323","0.947509765625","55","true","323","0","5","true"
"324","0.945556640625","55","true","324","0","5","true"
"325","0.94580078125","55","true","325","0","5","true"
"326","0.9443359375","55","true","326","0","5","true"
"327","0.946533203125","55","true","327","0","5","true"
"328","0.946533203125","55","true","328","0","5","true"
"329","0.944091796875","55","true","329","0","5","true"
"330","0.942626953125","55","true","330","0","5","true"
"331","0.944091796875","55","true","331","0","5","true"
"332","0.94482421875","55","true","332","0","5","true"
"333","0.9453125","55","true","333","0","5","true"
"334","0.946533203125","55","true","334","0","5","true"
"335","0.9443359375","55","true","335","0","5","true"
"336","0.946044921875","55","true","336","0","5","true"
"337","0.947265625","55","true","337","0","5","true"
"338","0.94921875","55","true","338","0","5","true"
"339","0.952880859375","55","true","339","0","5","true"
"340","0.95263671875","55","true","340","0","5","true"
"341","0.95166015625","55","true","341","0","5","true"
"342","0.94873046875","55","true","342","0","5","true"
"343","0.951904296875","55","true","343","0","5","true"
"344","0.951171875","55","true","344","0","5","true"
"345","0.950439453125","55","true","345","0","5","true"
"346","0.94873046875","55","true","346","0","5","true"
"347","0.953369140625","55","true","347","0","5","true"
"348","0.955810546875","55","true","348","0","5","true"
"349","0.95361328125","55","true","349","0","5","true"
"350","0.95361328125","55","true","350","0","5","true"
"351","0.95361328125","55","true","351","0","5","true"
"352","0.95556640625","55","true","352","0","5","true"
"353","0.95458984375","55","true","353","0","5","true"
"354","0.95654296875","55","true","354","0","5","true"
"355","0.95166015625","55","true","355","0","5","true"
"356","0.947021484375","55","true","356","0","5","true"
"357","0.952880859375","55","true","357","0","5","true"
"358","0.9541015625","55","true","358","0","5","true"
"359","0.955078125","55","true","359","0","5","true"
"360","0.953857421875","55","true","360","0","5","true"
"361","0.957275390625","55","true","361","0","5","true"
"362","0.95556640625","55","true","362","0","5","true"
"363","0.954833984375","55","true","363","0","5","true"
"364","0.957763671875","55","true","364","0","5","true"
"365","0.9580078125","55","true","365","0","5","true"
"366","0.95556640625","55","true","366","0","5","true"
"367","0.95654296875","55","true","367","0","5","true"
"368","0.95556640625","55","true","368","0","5","true"
"369","0.95751953125","55","true","369","0","5","true"
"370","0.95556640625","55","true","370","0","5","true"
"371","0.956787109375","55","true","371","0","5","true"
"372","0.961181640625","55","true","372","0","5","true"
"373","0.9609375","55","true","373","0","5","true"
"374","0.96142578125","55","true","374","0","5","true"
"375","0.960693359375","55","true","375","0","5","true"
"376","0.957763671875","55","true","376","0","5","true"
"377","0.95556640625","55","true","377","0","5","true"
"378","0.95703125","55","true","378","0","5","true"
"379","0.95703125","55","true","379","0","5","true"
"380","0.955078125","55","true","380","0","5","true"
"381","0.95361328125","55","true","381","0","5","true"
"382","0.951904296875","55","true","382","0","5","true"
"383","0.953369140625","55","true","383","0","5","true"
"384","0.956787109375","55","true","384","0","5","true"
"385","0.95751953125","55","true","385","0","5","true"
"386","0.960205078125","55","true","386","0","5","true"
"387","0.954345703125","55","true","387","0","5","true"
"388","0.951416015625","55","true","388","0","5","true"
"389","0.94970703125","55","true","389","0","5","true"
"390","0.9482421875","55","true","390","0","5","true"
"391","0.94775390625","55","true","391","0","5","true"
"392","0.945556640625","55","true","392","0","5","true"
"393","0.9443359375","55","true","393","0","5","true"
"394","0.9482421875","55","true","394","0","5","true"
"395","0.948974609375","55","true","395","0","5","true"
"396","0.948486328125","55","true","396","0","5","true"
"397","0.946044921875","55","true","397","0","5","true"
"398","0.94677734375","55","true","398","0","5","true"
"399","0.948974609375","55","true","399","0","5","true"
"400","0.952880859375","55","true","400","0","5","true"
"401","0.955078125","55","true","401","0","5","true"
"402","0.955078125","55","true","402","0","5","true"
"403","0.95703125","55","true","403","0","5","true"
"404","0.958984375","55","true","404","0","5","true"
"405","0.95947265625","55","true","405","0","5","true"
"406","0.95947265625","55","true","406","0","5","true"
"407","0.95654296875","55","true","407","0","5","true"
"408","0.95751953125","55","true","408","0","5","true"
"409","0.9560546875","55","true","409","0","5","true"
"410","0.958984375","55","true","410","0","5","true"
"411","0.956787109375","55","true","411","0","5","true"
"412","0.95556640625","55","true","412","0","5","true"
"413","0.955078125","55","true","413","0","5","true"
"414","0.958251953125","55","true","414","0","5","true"
"415","0.960693359375","55","true","415","0","5","true"
"416","0.962158203125","55","true","416","0","5","true"
"417","0.961669921875","55","true","417","0","5","true"
"418","0.9638671875","55","true","418","0","5","true"
"419","0.958984375","55","true","419","0","5","true"
"420","0.95849609375","55","true","420","0","5","true"
"421","0.955078125","55","true","421","0","5","true"
"422","0.954345703125","55","true","422","0","5","true"
"423","0.94921875","55","true","423","0","5","true"
"424","0.951416015625","55","true","424","0","5","true"
"425","0.949951171875","55","true","425","0","5","true"
"426","0.953369140625","55","true","426","0","5","true"
"427","0.95458984375","55","true","427","0","5","true"
"428","0.955810546875","55","true","428","0","5","true"
"429","0.956298828125","55","true","429","0","5","true"
"430","0.954833984375","55","true","430","0","5","true"
"431","0.953857421875","55","true","431","0","5","true"
"432","0.956298828125","55","true","432","0","5","true"
"433","0.957275390625","55","true","433","0","5","true"
"434","0.95849609375","55","true","434","0","5","true"
"435","0.95849609375","55","true","435","0","5","true"
"436","0.95556640625","55","true","436","0","5","true"
"437","0.95703125","55","true","437","0","5","true"
"438","0.9580078125","55","true","438","0","5","true"
"439","0.95654296875","55","true","439","0","5","true"
"440","0.9560546875","55","true","440","0","5","true"
"441","0.95654296875","55","true","441","0","5","true"
"442","0.954833984375","55","true","442","0","5","true"
"443","0.958984375","55","true","443","0","5","true"
"444","0.955810546875","55","true","444","0","5","true"
"445","0.957275390625","55","true","445","0","5","true"
"446","0.95458984375","55","true","446","0","5","true"
"447","0.951416015625","55","true","447","0","5","true"
"448","0.95703125","55","true","448","0","5","true"
"449","0.959716796875","55","true","449","0","5","true"
"450","0.958740234375","55","true","450","0","5","true"
"451","0.954833984375","55","true","451","0","5","true"
"452","0.956787109375","55","true","452","0","5","true"
"453","0.958740234375","55","true","453","0","5","true"
"454","0.962158203125","55","true","454","0","5","true"
"455","0.95947265625","55","true","455","0","5","true"
"456","0.959716796875","55","true","456","0","5","true"
"457","0.955810546875","55","true","457","0","5","true"
"458","0.955810546875","55","true","458","0","5","true"
"459","0.95556640625","55","true","459","0","5","true"
"460","0.9560546875","55","true","460","0","5","true"
"461","0.957763671875","55","true","461","0","5","true"
"462","0.95556640625","55","true","462","0","5","true"
"463","0.954833984375","55","true","463","0","5","true"
"464","0.954833984375","55","true","464","0","5","true"
"465","0.9521484375","55","true","465","0","5","true"
"466","0.95166015625","55","true","466","0","5","true"
"467","0.950439453125","55","true","467","0","5","true"
"468","0.9521484375","55","true","468","0","5","true"
"469","0.94921875","55","true","469","0","5","true"
"470","0.95068359375","55","true","470","0","5","true"
"471","0.9541015625","55","true","471","0","5","true"
"472","0.953857421875","55","true","472","0","5","true"
"473","0.95458984375","55","true","473","0","5","true"
"474","0.95166015625","55","true","474","0","5","true"
"475","0.946044921875","55","true","475","0","5","true"
"476","0.9501953125","55","true","476","0","5","true"
"477","0.95166015625","55","true","477","0","5","true"
